0,2016-08-11,2016-08-12,2016-08-13,2016-08-14,2016-08-15,2016-08-16,2016-08-17
1,0.0,0.38,0.36,0.28,0.17,0.28,0.37
2,0.0,0.37,0.25,0.25,0.155,0.245,0.325
3,0.0,0.37,0.25,0.25,0.155,0.245,0.325
4,0.0,0.37,0.14,0.25,0.155,0.245,0.325
5,0.0,0.38,0.27,0.25,0.155,0.245,0.325
6,0.0,0.38,0.27,0.25,0.155,0.245,0.325
7,0.45,0.38,0.4,0.22,0.14,0.21,0.28
8,0.48,0.36,0.28,0.25,0.175,0.26,0.33
9,0.5,0.33,0.28,0.25,0.175,0.26,0.33
10,0.53,0.31,0.16,0.25,0.175,0.26,0.33
11,0.51,0.35,0.29,0.25,0.175,0.26,0.33
12,0.48,0.4,0.29,0.25,0.175,0.26,0.33
13,0.46,0.44,0.42,0.28,0.21,0.31,0.38
14,0.43,0.45,0.405,0.3,0.315,0.425,0.505
15,0.45,0.46,0.405,0.3,0.315,0.425,0.505
16,0.46,0.46,0.39,0.3,0.315,0.425,0.505
17,0.48,0.49,0.45,0.3,0.315,0.425,0.505
18,0.49,0.51,0.45,0.3,0.315,0.425,0.505
19,0.51,0.53,0.51,0.32,0.42,0.54,0.63
20,0.49,0.42,0.395,0.245,0.35,0.455,0.0
21,0.47,0.42,0.395,0.245,0.35,0.455,0.0
22,0.45,0.31,0.395,0.245,0.35,0.455,0.0
23,0.42,0.335,0.395,0.245,0.35,0.455,0.0
24,0.4,0.335,0.395,0.245,0.35,0.455,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.40873000000000004,0.4145008,0.32016799999999995,0.27158872,0.26932568,0.27142778,0.27182272
7,2.8077606399999997,2.87849536,2.89595744,2.89638125,2.8828255625,2.8966111600000004,2.8878274900000003
8,6.165900000000001,6.38032644,6.39828864,6.566525,6.535792249999999,6.567046240000001,6.547132360000001
9,6.75170069,7.0999684,7.0641663999999995,7.18344375,7.181045624999999,7.215385200000001,7.193505300000001
10,7.029631000000001,7.314187749999999,7.34742559,7.35074375,7.316340687499999,7.351327240000001,7.32903511
11,7.0852876799999995,7.250255999999999,7.336974059999999,7.3402875,7.305933374999999,7.34087016,7.31860974
12,7.12440372,7.170015999999999,7.201684,7.3183039999999995,7.307670999999999,7.308791,7.253763999999999
13,7.319779210000001,7.28561225,7.3571136725,7.448710999999999,7.4420747525,7.3277238124999995,7.171947572499999
14,6.03898575,7.10401916,7.192017152499999,7.281559,7.275071672499999,7.1632868125,7.011006252499999
15,5.1471013999999995,7.05305776,7.15938356,7.229324,7.22288321,7.11190025,6.9607120899999995
16,3.598393599999999,6.912729719999999,6.9892829999999995,7.145747999999999,7.13938167,7.02968175,6.880241429999999
17,6.29624359,6.386921880000001,6.498807,6.644292,6.63837243,6.536370750000001,6.39741747
18,4.60942947,4.57759323,4.60942947,4.789169279999999,4.72224708,4.560752519999999,3.83739954
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.4,0.4,0.31,0.26,0.26,0.26,0.26
7,2.77,2.77,2.77,2.77,2.77,2.77,2.77
8,6.12,6.12,6.12,6.28,6.28,6.28,6.28
9,6.77,6.8,6.8,6.87,6.9,6.9,6.9
10,7.0,7.03,7.03,7.03,7.03,7.03,7.03
11,6.99,7.02,7.02,7.02,7.02,7.02,7.02
12,6.99,7.0,7.0,7.0,7.0,7.0,7.0
13,7.13,7.13,7.13,7.13,7.13,7.13,7.13
14,5.91,6.97,6.97,6.97,6.97,6.97,6.97
15,5.05,6.92,6.92,6.92,6.92,6.92,6.92
16,3.55,6.84,6.84,6.84,6.84,6.84,6.84
17,6.23,6.36,6.36,6.36,6.36,6.36,6.36
18,4.59,4.59,4.59,4.59,4.59,4.59,4.02
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
