0,2016-08-11,2016-08-12,2016-08-13,2016-08-14,2016-08-15,2016-08-16,2016-08-17
1,0.0,0.38,0.36,0.28,0.17,0.28,0.37
2,0.0,0.37,0.25,0.25,0.155,0.245,0.325
3,0.0,0.37,0.25,0.25,0.155,0.245,0.325
4,0.0,0.37,0.14,0.25,0.155,0.245,0.325
5,0.0,0.38,0.27,0.25,0.155,0.245,0.325
6,0.0,0.38,0.27,0.25,0.155,0.245,0.325
7,0.45,0.38,0.4,0.22,0.14,0.21,0.28
8,0.48,0.36,0.28,0.25,0.175,0.26,0.33
9,0.5,0.33,0.28,0.25,0.175,0.26,0.33
10,0.53,0.31,0.16,0.25,0.175,0.26,0.33
11,0.51,0.35,0.29,0.25,0.175,0.26,0.33
12,0.48,0.4,0.29,0.25,0.175,0.26,0.33
13,0.46,0.44,0.42,0.28,0.21,0.31,0.38
14,0.43,0.45,0.405,0.3,0.315,0.425,0.505
15,0.45,0.46,0.405,0.3,0.315,0.425,0.505
16,0.46,0.46,0.39,0.3,0.315,0.425,0.505
17,0.48,0.49,0.45,0.3,0.315,0.425,0.505
18,0.49,0.51,0.45,0.3,0.315,0.425,0.505
19,0.51,0.53,0.51,0.32,0.42,0.54,0.63
20,0.49,0.42,0.395,0.245,0.35,0.455,0.0
21,0.47,0.42,0.395,0.245,0.35,0.455,0.0
22,0.45,0.31,0.395,0.245,0.35,0.455,0.0
23,0.42,0.335,0.395,0.245,0.35,0.455,0.0
24,0.4,0.335,0.395,0.245,0.35,0.455,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.4700395,0.47667592,0.402792,0.40738308,0.64223816,0.64725086,0.64819264
7,10.876271359999999,11.15027264,11.21791456,11.21955625,12.790587062499998,12.85175132,12.812779729999999
8,25.227800000000002,26.10512648,26.17861888,26.18245,26.413759124999995,26.540069040000002,26.45958906
9,27.83455927,28.963694620000002,28.817643519999997,29.737575000000003,29.59839675,29.739935520000003,29.64975228
10,28.821487100000002,30.79658,30.9365288,30.9505,30.805645,30.952956800000003,30.859095200000002
11,29.699417599999997,30.767111999999997,31.13510787,31.14916875,31.003383937499997,31.151641320000003,31.05717723
12,29.6085734,30.851554559999997,30.987817440000004,31.48961664,31.44386436,31.448683560000003,31.211910239999998
13,29.566569600000005,30.920424500000003,31.223879345,31.612622,31.584457505,31.099147625,30.438027145
14,28.5497905,30.485109480000002,30.8627307075,31.246976999999998,31.2191382675,30.7394416875,30.085968007499996
15,28.24280788,29.80222672,30.25149932,30.547027999999997,30.51981287,30.05086175,29.412026229999995
16,27.205882879999997,22.375414619999997,22.6232055,23.129658,28.5470889875,28.108449687500002,27.5109068875
17,23.214240009999997,23.06723201,23.471320249999998,23.996758999999997,25.4992827775,25.1074744375,24.5737277975
18,14.109473650000004,14.012022850000001,14.109473650000004,14.857902079999999,14.65028288,14.14926272,13.59317648
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.46,0.46,0.39,0.39,0.62,0.62,0.62
7,10.73,10.73,10.73,10.73,12.29,12.29,12.29
8,25.04,25.04,25.04,25.04,25.38,25.38,25.38
9,27.91,27.74,27.74,28.44,28.44,28.44,28.44
10,28.7,29.6,29.6,29.6,29.6,29.6,29.6
11,29.3,29.79,29.79,29.79,29.79,29.79,29.79
12,29.05,30.12,30.12,30.12,30.12,30.12,30.12
13,28.8,30.26,30.26,30.26,30.26,30.26,30.26
14,27.94,29.91,29.91,29.91,29.91,29.91,29.91
15,27.71,29.24,29.24,29.24,29.24,29.24,29.24
16,26.84,22.14,22.14,22.14,27.35,27.35,27.35
17,22.97,22.97,22.97,22.97,24.43,24.43,24.43
18,14.05,14.05,14.05,14.24,14.24,14.24,14.24
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
