0,2016-08-11,2016-08-12,2016-08-13,2016-08-14,2016-08-15,2016-08-16,2016-08-17
1,0.0,0.63,0.65,0.4,0.16,0.25,0.33
2,0.0,0.63,0.655,0.38,0.16,0.235,0.295
3,0.0,0.63,0.655,0.38,0.16,0.235,0.295
4,0.0,0.62,0.66,0.38,0.16,0.235,0.295
5,0.0,0.63,0.62,0.38,0.16,0.235,0.295
6,0.0,0.63,0.62,0.38,0.16,0.235,0.295
7,0.5,0.63,0.58,0.36,0.16,0.22,0.26
8,0.51,0.63,0.61,0.35,0.19,0.26,0.3
9,0.52,0.63,0.61,0.35,0.19,0.26,0.3
10,0.53,0.64,0.64,0.35,0.19,0.26,0.3
11,0.53,0.64,0.61,0.35,0.19,0.26,0.3
12,0.54,0.65,0.61,0.35,0.19,0.26,0.3
13,0.54,0.65,0.58,0.34,0.22,0.3,0.34
14,0.54,0.64,0.625,0.32,0.25,0.34,0.395
15,0.57,0.63,0.625,0.32,0.25,0.34,0.395
16,0.59,0.62,0.67,0.32,0.25,0.34,0.395
17,0.61,0.68,0.635,0.32,0.25,0.34,0.395
18,0.64,0.74,0.635,0.32,0.25,0.34,0.395
19,0.66,0.8,0.6,0.3,0.28,0.38,0.45
20,0.68,0.68,0.5,0.23,0.265,0.355,0.0
21,0.67,0.68,0.5,0.23,0.265,0.355,0.0
22,0.66,0.56,0.5,0.23,0.265,0.355,0.0
23,0.65,0.605,0.5,0.23,0.265,0.355,0.0
24,0.64,0.605,0.5,0.23,0.265,0.355,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.7329,1.64187244,1.4175373999999998,1.5067936000000002,2.4101273599999997,2.42340704,2.42604256
7,40.37016660000001,38.373995400000005,38.7605586,41.825085,47.97766739,48.133939240000004,48.087541
8,93.85802496,89.52023106,90.42201954000001,97.5710565,99.08227378000001,99.40500248000001,99.30918199999999
9,104.25742838000001,98.65061951999999,98.65061951999999,110.81566674999999,111.01675763000001,111.37835908000001,111.27099700000001
10,107.21940047000001,105.27860416,106.90007791000001,115.35191975,115.56124231000001,115.93764596000001,115.825889
11,109.05067299999999,105.36949725,107.57501301,116.08021724999999,116.29086140999999,116.66964156,116.55717899999999
12,108.11666267999999,106.5500285,110.29418583999998,117.50744535999998,117.84861304,117.86305399999999,117.50744535999998
13,106.20889692,106.64598208,107.4841796875,117.18335551999999,117.43414375,116.97625588,116.0963351075
14,102.75696722,106.93171554,107.20664062499999,116.88077183999998,117.1309125,116.67420695999999,115.79655826499999
15,101.01600467000002,105.07918303999998,102.26287623999998,114.27229183999998,114.51685,114.07033695999999,113.21227513999999
16,96.92068036,76.98424447999999,78.966282395,86.53893247999999,107.113825,106.69617711999999,105.89358533
17,81.70083072,76.75697232,81.91775907,89.77344767999999,95.6746875,95.30164199999999,94.584762375
18,49.42735924,44.798656,50.987944,55.734745,55.7759312,55.2840442,54.51436375
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.72,1.72,1.45,1.45,2.32,2.32,2.32
7,40.2,40.2,40.2,40.2,46.03,46.03,46.03
8,93.78,93.78,93.78,93.78,95.06,95.06,95.06
9,104.54,103.89,103.89,106.51,106.51,106.51,106.51
10,107.51,110.87,110.87,110.87,110.87,110.87,110.87
11,109.75,111.57,111.57,111.57,111.57,111.57,111.57
12,108.81,112.82,112.82,112.82,112.82,112.82,112.82
13,106.89,112.31,112.31,112.31,112.31,112.31,112.31
14,104.66,112.02,112.02,112.02,112.02,112.02,112.02
15,103.79,109.52,109.52,109.52,109.52,109.52,109.52
16,100.52,82.94,82.94,82.94,102.44,102.44,102.44
17,86.04,86.04,86.04,86.04,91.5,91.5,91.5
18,52.63,52.63,52.63,53.35,53.35,53.35,53.35
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
