0,2016-08-11,2016-08-12,2016-08-13,2016-08-14,2016-08-15,2016-08-16,2016-08-17
1,0.0,0.38,0.36,0.28,0.17,0.28,0.37
2,0.0,0.37,0.25,0.25,0.155,0.245,0.325
3,0.0,0.37,0.25,0.25,0.155,0.245,0.325
4,0.0,0.37,0.14,0.25,0.155,0.245,0.325
5,0.0,0.38,0.27,0.25,0.155,0.245,0.325
6,0.0,0.38,0.27,0.25,0.155,0.245,0.325
7,0.45,0.38,0.4,0.22,0.14,0.21,0.28
8,0.48,0.36,0.28,0.25,0.175,0.26,0.33
9,0.5,0.33,0.28,0.25,0.175,0.26,0.33
10,0.53,0.31,0.16,0.25,0.175,0.26,0.33
11,0.51,0.35,0.29,0.25,0.175,0.26,0.33
12,0.48,0.4,0.29,0.25,0.175,0.26,0.33
13,0.46,0.44,0.42,0.28,0.21,0.31,0.38
14,0.43,0.45,0.405,0.3,0.315,0.425,0.505
15,0.45,0.46,0.405,0.3,0.315,0.425,0.505
16,0.46,0.46,0.39,0.3,0.315,0.425,0.505
17,0.48,0.49,0.45,0.3,0.315,0.425,0.505
18,0.49,0.51,0.45,0.3,0.315,0.425,0.505
19,0.51,0.53,0.51,0.32,0.42,0.54,0.63
20,0.49,0.42,0.395,0.245,0.35,0.455,0.0
21,0.47,0.42,0.395,0.245,0.35,0.455,0.0
22,0.45,0.31,0.395,0.245,0.35,0.455,0.0
23,0.42,0.335,0.395,0.245,0.35,0.455,0.0
24,0.4,0.335,0.395,0.245,0.35,0.455,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.735714,0.7461014399999999,0.6196799999999999,0.6267432000000001,1.00479196,1.01263441,1.0141078399999999
7,16.968199679999998,17.39567232,17.501201279999997,17.5037625,19.950818062499998,20.046222360000005,19.985434290000004
8,39.35295000000001,40.72149522,40.83613632,40.842112500000006,41.2025501875,41.399579720000006,41.27403983000001
9,43.42231138,45.17876951000001,44.95095296,46.383925,46.16683825,46.38760688,46.246941320000005
10,44.96955374000001,48.046826499999995,48.26516554,48.2869625,48.06096912499999,48.290795440000004,48.14435866
11,46.333118719999995,47.994215999999994,48.56825991,48.59019375,48.36278118749999,48.59405076,48.44669439
12,46.19141296,48.131293119999995,48.343875880000006,49.12672928,49.05535147,49.06286987000001,48.69348148
13,45.704988840000006,47.8009735,48.270095035,48.871066,48.827525515,48.077267875000004,47.05521843499999
14,44.541351750000004,47.55717848,48.146272644999996,48.745701999999994,48.702273205,47.953940124999995,46.93451244499999
15,44.06122644,46.48698908,47.187786730000006,47.648767,47.6063154925,46.8748223125,45.8783350325
16,42.44077183999999,34.90726382,35.2938355,36.083937999999996,44.5376338975,43.8532924375,42.921038277499996
17,36.22108672,35.99171072000001,36.622208,37.442048,39.7780461175,39.1668379375,38.334210657499995
18,22.012787360000004,21.86075024,22.012787360000004,23.184170239999997,22.86020264,22.078414159999998,21.21070094
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.72,0.72,0.6,0.6,0.97,0.97,0.97
7,16.74,16.74,16.74,16.74,19.17,19.17,19.17
8,39.06,39.06,39.06,39.06,39.59,39.59,39.59
9,43.54,43.27,43.27,44.36,44.36,44.36,44.36
10,44.78,46.18,46.18,46.18,46.18,46.18,46.18
11,45.71,46.47,46.47,46.47,46.47,46.47,46.47
12,45.32,46.99,46.99,46.99,46.99,46.99,46.99
13,44.52,46.78,46.78,46.78,46.78,46.78,46.78
14,43.59,46.66,46.66,46.66,46.66,46.66,46.66
15,43.23,45.61,45.61,45.61,45.61,45.61,45.61
16,41.87,34.54,34.54,34.54,42.67,42.67,42.67
17,35.84,35.84,35.84,35.84,38.11,38.11,38.11
18,21.92,21.92,21.92,22.22,22.22,22.22,22.22
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
