0,2016-08-11,2016-08-12,2016-08-13,2016-08-14,2016-08-15,2016-08-16,2016-08-17
1,0.0,0.38,0.36,0.28,0.17,0.28,0.37
2,0.0,0.37,0.25,0.25,0.155,0.245,0.325
3,0.0,0.37,0.25,0.25,0.155,0.245,0.325
4,0.0,0.37,0.14,0.25,0.155,0.245,0.325
5,0.0,0.38,0.27,0.25,0.155,0.245,0.325
6,0.0,0.38,0.27,0.25,0.155,0.245,0.325
7,0.45,0.38,0.4,0.22,0.14,0.21,0.28
8,0.48,0.36,0.28,0.25,0.175,0.26,0.33
9,0.5,0.33,0.28,0.25,0.175,0.26,0.33
10,0.53,0.31,0.16,0.25,0.175,0.26,0.33
11,0.51,0.35,0.29,0.25,0.175,0.26,0.33
12,0.48,0.4,0.29,0.25,0.175,0.26,0.33
13,0.46,0.44,0.42,0.28,0.21,0.31,0.38
14,0.43,0.45,0.405,0.3,0.315,0.425,0.505
15,0.45,0.46,0.405,0.3,0.315,0.425,0.505
16,0.46,0.46,0.39,0.3,0.315,0.425,0.505
17,0.48,0.49,0.45,0.3,0.315,0.425,0.505
18,0.49,0.51,0.45,0.3,0.315,0.425,0.505
19,0.51,0.53,0.51,0.32,0.42,0.54,0.63
20,0.49,0.42,0.395,0.245,0.35,0.455,0.0
21,0.47,0.42,0.395,0.245,0.35,0.455,0.0
22,0.45,0.31,0.395,0.245,0.35,0.455,0.0
23,0.42,0.335,0.395,0.245,0.35,0.455,0.0
24,0.4,0.335,0.395,0.245,0.35,0.455,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.8699397500000001,1.89634116,1.8074,1.44150936,1.4294978399999998,1.4406551399999998,1.44275136
7,16.1167488,16.5227712,16.6230048,16.6254375,16.547626875,16.6267572,16.5763383
8,27.051375000000004,27.992118450000003,28.0709232,28.075031250000002,27.954041374999996,28.087716880000002,28.00254382
9,28.97147785,30.33148265,30.1785344,30.37540625,30.420574437499997,30.566044840000004,30.473356510000002
10,29.584704180000006,30.692537499999997,30.8320135,30.8459375,30.701571874999996,30.848386,30.7548415
11,29.729826559999996,30.374647999999997,30.73794973,30.751831250000002,30.607906062499996,30.754272280000002,30.66101317
12,29.659534800000003,29.991152639999996,30.123615360000002,30.61142016,30.566943839999997,30.571628640000004,30.34145856
13,29.987482570000005,29.9394725,30.233300225,30.60971,30.582439025,30.112525625,29.472379224999997
14,25.535406749999996,29.80222672,30.171389029999997,30.547027999999997,30.51981287,30.05086175,29.412026229999995
15,21.83186376,29.84299584,30.292883040000003,30.588816,30.56156364,30.091971,29.452261559999997
16,14.971344639999998,28.914210129999997,29.23441325,29.888866999999998,30.425873637499997,29.958365937499998,29.321496737499995
17,28.701977199999995,28.5202172,29.01983,29.669479999999997,29.6430467,29.187567499999997,27.128671252499995
18,21.048723680000005,20.90334512,21.048723680000005,21.86949632,21.563899520000003,20.82644288,17.06783676
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.83,1.83,1.75,1.38,1.38,1.38,1.38
7,15.9,15.9,15.9,15.9,15.9,15.9,15.9
8,26.85,26.85,26.85,26.85,26.86,26.86,26.86
9,29.05,29.05,29.05,29.05,29.23,29.23,29.23
10,29.46,29.5,29.5,29.5,29.5,29.5,29.5
11,29.33,29.41,29.41,29.41,29.41,29.41,29.41
12,29.1,29.28,29.28,29.28,29.28,29.28,29.28
13,29.21,29.3,29.3,29.3,29.3,29.3,29.3
14,24.99,29.24,29.24,29.24,29.24,29.24,29.24
15,21.42,29.28,29.28,29.28,29.28,29.28,29.28
16,14.77,28.61,28.61,28.61,29.15,29.15,29.15
17,28.4,28.4,28.4,28.4,28.4,28.4,26.97
18,20.96,20.96,20.96,20.96,20.96,20.96,17.88
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
