0,2016-08-11,2016-08-12,2016-08-13,2016-08-14,2016-08-15,2016-08-16,2016-08-17
1,0.0,0.38,0.36,0.28,0.17,0.28,0.37
2,0.0,0.37,0.25,0.25,0.155,0.245,0.325
3,0.0,0.37,0.25,0.25,0.155,0.245,0.325
4,0.0,0.37,0.14,0.25,0.155,0.245,0.325
5,0.0,0.38,0.27,0.25,0.155,0.245,0.325
6,0.0,0.38,0.27,0.25,0.155,0.245,0.325
7,0.45,0.38,0.4,0.22,0.14,0.21,0.28
8,0.48,0.36,0.28,0.25,0.175,0.26,0.33
9,0.5,0.33,0.28,0.25,0.175,0.26,0.33
10,0.53,0.31,0.16,0.25,0.175,0.26,0.33
11,0.51,0.35,0.29,0.25,0.175,0.26,0.33
12,0.48,0.4,0.29,0.25,0.175,0.26,0.33
13,0.46,0.44,0.42,0.28,0.21,0.31,0.38
14,0.43,0.45,0.405,0.3,0.315,0.425,0.505
15,0.45,0.46,0.405,0.3,0.315,0.425,0.505
16,0.46,0.46,0.39,0.3,0.315,0.425,0.505
17,0.48,0.49,0.45,0.3,0.315,0.425,0.505
18,0.49,0.51,0.45,0.3,0.315,0.425,0.505
19,0.51,0.53,0.51,0.32,0.42,0.54,0.63
20,0.49,0.42,0.395,0.245,0.35,0.455,0.0
21,0.47,0.42,0.395,0.245,0.35,0.455,0.0
22,0.45,0.31,0.395,0.245,0.35,0.455,0.0
23,0.42,0.335,0.395,0.245,0.35,0.455,0.0
24,0.4,0.335,0.395,0.245,0.35,0.455,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.4700395,0.47667592,0.278856,0.28203444000000005,0.27968436,0.16703247999999998,0.08363775999999999
7,3.8720742399999994,3.9696217600000003,3.9937030399999998,3.9942875,3.9755933749999994,3.99460456,3.98249134
8,12.906075000000001,13.35489897,13.39249632,13.676775000000001,13.612764749999998,13.67786064,13.63638396
9,15.84704933,16.758013650000002,16.6735104,16.99140625,16.911882812499996,16.992755000000002,16.94122625
10,16.720479450000003,17.55196975,17.63173111,17.639693750000003,17.5571361875,17.641093960000003,17.587599190000002
11,16.998608639999997,17.495632,17.70489182,17.7128875,17.629987375,17.714293520000002,17.660576780000003
12,17.224953199999998,17.392410239999997,17.469227760000003,17.75211456,17.72632194,17.72903874,17.595558959999998
13,17.668078570000002,17.58560825,17.7581944325,17.979287,17.9632687925,17.6872548125,17.3112507325
14,14.4077325,17.1230304,17.3351346,17.55096,17.5353234,17.265885,16.898838599999998
15,12.057467240000001,16.786685159999998,17.03974671,17.206208999999998,17.1908795475,16.926733687499997,16.566897127499995
16,8.585463039999999,16.372254599999998,16.553565,16.924139999999998,16.90906185,16.649246249999997,16.29530865
17,14.815879779999998,14.782309760000002,15.041264,15.377984,15.36428336,15.128204,14.80660144
18,6.135863630000001,6.0934846700000005,6.135863630000001,6.37512512,6.286041320000001,6.07106708,4.753793460000001
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.46,0.46,0.27,0.27,0.27,0.16,0.08
7,3.82,3.82,3.82,3.82,3.82,3.82,3.82
8,12.81,12.81,12.81,13.08,13.08,13.08,13.08
9,15.89,16.05,16.05,16.25,16.25,16.25,16.25
10,16.65,16.87,16.87,16.87,16.87,16.87,16.87
11,16.77,16.94,16.94,16.94,16.94,16.94,16.94
12,16.9,16.98,16.98,16.98,16.98,16.98,16.98
13,17.21,17.21,17.21,17.21,17.21,17.21,17.21
14,14.1,16.8,16.8,16.8,16.8,16.8,16.8
15,11.83,16.47,16.47,16.47,16.47,16.47,16.47
16,8.47,16.2,16.2,16.2,16.2,16.2,16.2
17,14.66,14.72,14.72,14.72,14.72,14.72,14.72
18,6.11,6.11,6.11,6.11,6.11,6.11,4.98
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
