0,2016-08-11,2016-08-12,2016-08-13,2016-08-14,2016-08-15,2016-08-16,2016-08-17
1,0.0,0.64,0.605,0.5,0.23,0.265,0.355
2,0.0,0.63,0.65,0.4,0.16,0.25,0.33
3,0.0,0.63,0.655,0.38,0.16,0.235,0.295
4,0.0,0.63,0.655,0.38,0.16,0.235,0.295
5,0.0,0.62,0.66,0.38,0.16,0.235,0.295
6,0.0,0.63,0.62,0.38,0.16,0.235,0.295
7,0.51,0.63,0.62,0.38,0.16,0.235,0.295
8,0.5,0.63,0.58,0.36,0.16,0.22,0.26
9,0.51,0.63,0.61,0.35,0.19,0.26,0.3
10,0.52,0.63,0.61,0.35,0.19,0.26,0.3
11,0.53,0.64,0.64,0.35,0.19,0.26,0.3
12,0.53,0.64,0.61,0.35,0.19,0.26,0.3
13,0.54,0.65,0.61,0.35,0.19,0.26,0.3
14,0.54,0.65,0.58,0.34,0.22,0.3,0.34
15,0.54,0.64,0.625,0.32,0.25,0.34,0.395
16,0.57,0.63,0.625,0.32,0.25,0.34,0.395
17,0.59,0.62,0.67,0.32,0.25,0.34,0.395
18,0.61,0.68,0.635,0.32,0.25,0.34,0.395
19,0.64,0.74,0.635,0.32,0.25,0.34,0.395
20,0.66,0.8,0.6,0.3,0.28,0.38,0.45
21,0.68,0.68,0.5,0.23,0.265,0.355,0.0
22,0.67,0.68,0.5,0.23,0.265,0.355,0.0
23,0.66,0.56,0.5,0.23,0.265,0.355,0.0
24,0.65,0.605,0.5,0.23,0.265,0.355,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.6295528472416391,0.5984235414105911,0.6014796749277159,0.422035169642828,0.42309244461107204,0.3427072544622577,0.27277525769731575
7,4.897285092570001,4.640035445965452,4.688123235051315,4.983314081580224,4.981779526526464,4.15430816797908,4.1588260892701205
8,7.673759314126397,7.294317299671324,7.367797129117917,7.950317341095099,7.964744329239356,7.365812731253932,7.1273095694394
9,8.472349416826624,8.080786674752714,8.162189059960427,8.80751628844985,8.823498786710267,8.852238501537657,8.040400360152299
10,8.517284416501097,8.10966114287731,8.10966114287731,8.885613452199449,8.901737668935642,8.930732221806071,8.2716523795185
11,8.289848702432815,7.89311012935136,8.014677763940735,8.648342305480375,8.664035959778136,8.69225627563666,8.3736345089998
12,8.268202319242247,7.85877307739955,8.023267056481039,8.657610693335549,8.673321166448957,8.554427290059024,8.2723164159113
13,8.19967870080322,7.793642647958876,8.06751047076938,8.59512710135402,8.620081941989781,8.5922085652478,8.031319477219691
14,8.15900686868088,7.79721569267328,7.858498897265625,8.56763546792832,8.585971366612501,8.552493776404079,8.138501461965948
15,7.958757426802678,7.719152476998457,7.738998681093751,8.437351770763776,8.653739110218124,8.619997286569722,8.55515579703592
16,7.661422415481913,7.552538256366532,7.350116956225966,8.21329049956307,8.283821604458751,8.251522127417383,8.189452387964392
17,7.033377440436373,6.7707654724661115,6.945085737224794,7.611100427333311,7.627389211658126,7.434219995084263,7.378298179568812
18,4.331055593499071,3.9843568855819402,4.252246767124658,4.66002557937056,4.669998664384376,3.8438974803914796,3.814982849683632
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.626899183,0.626899183,0.626899183,0.407270789,0.407270789,0.327871323,0.261043131
7,4.860828876,4.860828876,4.795484543,4.795484543,4.795484543,3.97704339,3.97704339
8,7.641413212,7.641413212,7.641413212,7.641413212,7.641413212,7.043852329,6.822350502
9,8.465306282,8.465306282,8.465306282,8.465306282,8.465306282,8.465306282,7.696372509
10,8.540369034,8.540369034,8.540369034,8.540369034,8.540369034,8.540369034,7.917729855
11,8.312316895,8.312316895,8.312316895,8.312316895,8.312316895,8.312316895,8.015348434
12,8.321225166,8.321225166,8.321225166,8.321225166,8.321225166,8.180512428,7.918365479
13,8.252262115,8.252262115,8.252262115,8.252262115,8.252262115,8.224570274,7.710945129
14,8.21132946,8.21132946,8.21132946,8.21132946,8.21132946,8.21132946,7.873074532
15,8.106151581,8.086463928,8.086463928,8.086463928,8.276140213,8.276140213,8.276140213
16,7.871812344,7.871720791,7.871720791,7.871720791,7.922363758,7.922363758,7.922363758
17,7.294574261,7.294574261,7.294574261,7.294574261,7.294574261,7.137664318,7.137664318
18,4.561079979,4.466227055,4.466227055,4.466227055,4.466227055,3.69056201,3.69056201
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
