0,2016-08-11,2016-08-12,2016-08-13,2016-08-14,2016-08-15,2016-08-16,2016-08-17
1,0.0,0.4,0.335,0.395,0.245,0.35,0.455
2,0.0,0.38,0.36,0.28,0.17,0.28,0.37
3,0.0,0.37,0.25,0.25,0.155,0.245,0.325
4,0.0,0.37,0.25,0.25,0.155,0.245,0.325
5,0.0,0.37,0.14,0.25,0.155,0.245,0.325
6,0.0,0.38,0.27,0.25,0.155,0.245,0.325
7,0.48,0.38,0.27,0.25,0.155,0.245,0.325
8,0.45,0.38,0.4,0.22,0.14,0.21,0.28
9,0.48,0.36,0.28,0.25,0.175,0.26,0.33
10,0.5,0.33,0.28,0.25,0.175,0.26,0.33
11,0.53,0.31,0.16,0.25,0.175,0.26,0.33
12,0.51,0.35,0.29,0.25,0.175,0.26,0.33
13,0.48,0.4,0.29,0.25,0.175,0.26,0.33
14,0.46,0.44,0.42,0.28,0.21,0.31,0.38
15,0.43,0.45,0.405,0.3,0.315,0.425,0.505
16,0.45,0.46,0.405,0.3,0.315,0.425,0.505
17,0.46,0.46,0.39,0.3,0.315,0.425,0.505
18,0.48,0.49,0.45,0.3,0.315,0.425,0.505
19,0.49,0.51,0.45,0.3,0.315,0.425,0.505
20,0.51,0.53,0.51,0.32,0.42,0.54,0.63
21,0.49,0.42,0.395,0.245,0.35,0.455,0.0
22,0.47,0.42,0.395,0.245,0.35,0.455,0.0
23,0.45,0.31,0.395,0.245,0.35,0.455,0.0
24,0.42,0.335,0.395,0.245,0.35,0.455,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3.7487827051095035,3.8324397569681437,3.867222894577804,3.206844837175,3.1839296018734697,2.966349462897254,2.5595163185419563
7,36.423339437548,36.93759532095808,36.700795211008,37.119116048753924,36.80981732536448,33.8052794690961,33.854467717526404
8,59.54917750369279,61.049374613427204,61.419724025228795,61.42871251825,61.14121292529249,61.433588628843204,58.47286424332323
9,64.7413087867,66.99276410775173,67.18136533980031,67.191197022425,66.87672776200324,67.19653054960048,64.91136925210083
10,64.34391544231372,67.3644045697726,67.02471567588864,67.46195625211875,67.14621978023943,67.46731127171844,65.65986222545126
11,63.3556363994262,65.63893837473275,65.93722119246179,65.96699900336876,65.65825925310193,65.97223535571045,65.06851966354849
12,63.354127441250554,64.168649516696,64.93615080201721,64.96547652100625,64.6614241114668,64.96096077381809,63.71790504634191
13,63.75969313218456,64.07623079328575,64.35923798277624,65.40143510410944,65.30641124892905,65.31642034493227,64.16030556198507
14,64.29746250245664,63.997337489611745,64.62541108311376,65.430008539033,65.37171526780901,64.36724845729019,62.39894433995525
15,63.25996028549575,62.73413865148892,63.51123090563589,64.301956627183,66.21822678407928,65.20075293038694,63.814684296176296
16,61.701094302489324,61.701094302489324,62.63124664716368,63.243094987393,64.08085117275722,63.09621908946038,61.75488963716773
17,56.16493789963391,55.998764526298224,56.618908705815755,57.886403175657,58.24409870385269,57.349151037007374,56.12999549234865
18,33.65022168777321,32.52332859397245,33.093067286711246,33.833902472954996,33.80375898226226,29.21121971726481,28.590233707174328
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3.698366572,3.698366572,3.698366572,3.06691676,3.06691676,2.837164158,2.454038669
7,35.64537904,35.64537904,35.53523936,35.53523936,35.53523936,32.3819937,32.3819937
8,58.7483204,58.7483204,58.7483204,58.7483204,58.7483204,58.7483204,56.08708779
9,64.25936356,64.25936356,64.25936356,64.25936356,64.25936356,64.25936356,62.26289259
10,64.51830843,64.51830843,64.51830843,64.51830843,64.51830843,64.51830843,62.98084598
11,63.08858243,63.08858243,63.08858243,63.08858243,63.08858243,63.08858243,62.41363104
12,62.50209883,62.13076057,62.13076057,62.13076057,62.13076057,62.12151076,61.11812343
13,62.55685002,62.55685002,62.55685002,62.55685002,62.55685002,62.55685002,61.91573629
14,62.63042839,62.63042839,62.63042839,62.63042839,62.63042839,62.63042839,62.03398291
15,61.90880071,61.55064289,61.55064289,61.55064289,63.44144243,63.44144243,63.44144243
16,60.53708719,60.53708719,60.53708719,60.53708719,61.39369518,61.39369518,61.39369518
17,55.40959431,55.40959431,55.40959431,55.40959431,55.80170014,55.80170014,55.80170014
18,33.29618337,32.38623765,32.38623765,32.38623765,32.38623765,28.42301401,28.42301401
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
