0,2016-08-11,2016-08-12,2016-08-13,2016-08-14,2016-08-15,2016-08-16,2016-08-17
1,0.0,0.76,0.79,0.85,0.73,0.48,0.46
2,0.0,0.73,0.79,0.86,0.73,0.48,0.46
3,0.0,0.73,0.79,0.86,0.63,0.465,0.415
4,0.0,0.73,0.79,0.86,0.63,0.465,0.415
5,0.0,0.73,0.79,0.86,0.63,0.465,0.415
6,0.0,0.73,0.825,0.86,0.63,0.465,0.415
7,0.86,0.73,0.825,0.86,0.63,0.465,0.415
8,0.8,0.68,0.86,0.86,0.53,0.45,0.37
9,0.8,0.68,0.86,0.86,0.53,0.45,0.37
10,0.8,0.68,0.86,0.86,0.53,0.45,0.37
11,0.8,0.68,0.86,0.86,0.53,0.45,0.37
12,0.8,0.68,0.86,0.86,0.53,0.45,0.37
13,0.8,0.68,0.86,0.86,0.53,0.45,0.37
14,0.82,0.68,0.86,0.86,0.53,0.45,0.37
15,0.82,0.68,0.86,0.795,0.505,0.455,0.4
16,0.82,0.68,0.86,0.795,0.505,0.455,0.4
17,0.82,0.68,0.86,0.795,0.505,0.455,0.4
18,0.82,0.68,0.85,0.795,0.505,0.455,0.4
19,0.82,0.735,0.85,0.795,0.505,0.455,0.4
20,0.76,0.79,0.84,0.73,0.48,0.46,0.43
21,0.76,0.79,0.85,0.73,0.48,0.46,0.0
22,0.76,0.79,0.85,0.73,0.48,0.46,0.0
23,0.76,0.79,0.85,0.73,0.48,0.46,0.0
24,0.76,0.79,0.85,0.73,0.48,0.46,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.39896483585257203,0.445024196523753,0.4124688832648313,0.33084658268459605,0.392093215819019,0.3867738459704948,0.33848205495141975
7,4.0636025600576,4.431159994625216,3.833397978005088,3.833397978005088,4.746354049162152,4.431558441079175,4.500740757280183
8,6.6973568967423995,7.303140381462783,6.337531326251536,6.337531326251536,7.846867881873243,8.0398575082399,7.795487959179492
9,7.325620355155199,7.988230978256831,6.9320403856040285,6.9320403856040285,8.582964289632537,8.794057823550824,8.653856862001845
10,7.355140283545599,8.020421017463294,6.959974311450784,6.959974311450784,8.617550915600535,8.829495089560599,8.753644481707825
11,7.192150342092799,7.8426884519828475,6.805741249700192,6.805741249700192,8.426585948916967,8.633833439037799,8.674807847582032
12,7.1252907288192,7.7236193881799675,6.7024152991606725,6.7024152991606725,8.298652051486888,8.501487213757825,8.494746546578382
13,7.008305696201456,7.776587559437055,6.748380107051824,6.748380107051824,8.355563766186195,8.5610645027341,8.605605955879778
14,7.016548752700928,7.785734256713727,6.756317443251713,7.170060816008608,8.437413463787166,8.560382487656607,8.580691109084798
15,6.935704091216024,7.651503610056511,6.639834549085748,7.046444742280625,8.546671231971622,8.671232606525484,8.7753743273688
16,6.782029670716195,7.5255061424632945,6.530496256763284,6.930410791529299,8.270803883038026,8.391344696224186,8.4921249562528
17,6.207591579104244,6.888095574126144,6.036411800988975,6.3434048150791025,7.5174644051066695,7.62702585588027,7.718626627488
18,3.7302043097801603,3.8833371018102985,3.5282096818913247,3.707643385272584,4.362992312139794,3.884882758657997,3.9315402979167997
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.495320529,0.495320529,0.495320529,0.410750747,0.410750747,0.379980087,0.328668267
7,4.773969173,4.773969173,4.759218216,4.759218216,4.759218216,4.336905479,4.336905479
8,7.868135452,7.868135452,7.868135452,7.868135452,7.868135452,7.868135452,7.511717796
9,8.606226921,8.606226921,8.606226921,8.606226921,8.606226921,8.606226921,8.338840485
10,8.640907288,8.640907288,8.640907288,8.640907288,8.640907288,8.640907288,8.434995651
11,8.449424744,8.449424744,8.449424744,8.449424744,8.449424744,8.449424744,8.359028816
12,8.370877266,8.321144104,8.321144104,8.321144104,8.321144104,8.319905281,8.185522079
13,8.378210068,8.378210068,8.378210068,8.378210068,8.378210068,8.378210068,8.292346001
14,8.388064384,8.388064384,8.388064384,8.388064384,8.388064384,8.388064384,8.308182716
15,8.291417122,8.243449211,8.243449211,8.243449211,8.496683121,8.496683121,8.496683121
16,8.107704163,8.107704163,8.107704163,8.107704163,8.222429276,8.222429276,8.222429276
17,7.420981407,7.420981407,7.420981407,7.420981407,7.47349596,7.47349596,7.47349596
18,4.45934248,4.337473869,4.337473869,4.337473869,4.337473869,3.806681156,3.806681156
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
