Alamosa,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1/1/2016,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.36,3.59,5.37,5.77,5.14,5.07,5.45,5.89,3.77,0.68,0.07,0.00,0.00,0.00,0.00,0.00
1/2/2016,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.36,2.52,4.53,5.77,5.14,5.07,5.45,5.89,4.17,0.78,0.07,0.00,0.00,0.00,0.00,0.00
1/3/2016,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.36,2.52,4.53,5.77,5.27,5.27,5.67,5.89,4.34,0.84,0.07,0.00,0.00,0.00,0.00,0.00
1/4/2016,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.36,2.52,4.76,5.77,5.48,5.27,5.67,5.87,4.58,0.92,0.07,0.00,0.00,0.00,0.00,0.00
1/5/2016,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.36,2.52,5.48,6.00,5.51,5.45,5.85,5.98,4.58,0.92,0.07,0.00,0.00,0.00,0.00,0.00
1/6/2016,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.38,2.51,5.48,6.00,5.55,5.45,5.85,5.98,4.58,0.93,0.07,0.00,0.00,0.00,0.00,0.00
1/7/2016,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.38,2.65,5.56,6.00,5.55,5.45,5.72,5.98,4.58,0.93,0.07,0.00,0.00,0.00,0.00,0.00
1/8/2016,1,8,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.38,2.65,5.56,6.00,5.55,5.45,5.85,5.98,4.58,0.93,0.08,0.00,0.00,0.00,0.00,0.00
1/9/2016,1,9,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.07,0.38,2.65,5.56,6.00,5.55,5.45,5.89,5.98,4.58,0.93,0.08,0.00,0.00,0.00,0.00,0.00
1/10/2016,1,10,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.07,0.38,3.38,5.78,6.00,5.55,5.45,5.89,5.98,4.58,1.03,0.08,0.00,0.00,0.00,0.00,0.00
1/11/2016,1,11,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.07,0.38,3.38,5.78,6.00,5.55,5.45,5.89,5.98,4.60,1.03,0.08,0.00,0.00,0.00,0.00,0.00
1/12/2016,1,12,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.07,0.38,3.38,5.78,5.94,5.55,5.41,5.89,6.40,5.09,1.28,0.09,0.00,0.00,0.00,0.00,0.00
1/13/2016,1,13,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.07,0.37,3.38,5.78,5.94,5.55,5.34,5.89,6.40,5.09,1.28,0.09,0.00,0.00,0.00,0.00,0.00
1/14/2016,1,14,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.07,0.37,3.38,5.78,5.83,5.59,5.34,5.89,6.40,5.09,1.28,0.09,0.00,0.00,0.00,0.00,0.00
1/15/2016,1,15,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.07,0.37,3.38,5.78,5.83,5.59,5.43,5.89,6.40,5.09,1.28,0.09,0.00,0.00,0.00,0.00,0.00
1/16/2016,1,16,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.07,0.37,3.69,5.78,6.14,5.59,5.54,5.67,6.40,5.09,1.28,0.10,0.00,0.00,0.00,0.00,0.00
1/17/2016,1,17,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.07,0.37,3.72,6.12,6.14,5.68,5.54,5.83,6.40,5.09,1.45,0.10,0.00,0.00,0.00,0.00,0.00
1/18/2016,1,18,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.07,0.37,3.72,6.12,6.14,5.68,5.54,5.87,6.40,5.09,1.52,0.10,0.00,0.00,0.00,0.00,0.00
1/19/2016,1,19,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.37,3.72,6.12,6.14,5.81,5.67,5.98,6.22,5.20,1.63,0.10,0.00,0.00,0.00,0.00,0.00
1/20/2016,1,20,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.37,3.72,6.12,6.22,5.83,5.68,6.01,6.22,5.25,1.69,0.11,0.00,0.00,0.00,0.00,0.00
1/21/2016,1,21,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.37,3.72,6.12,6.31,5.83,5.74,6.05,6.22,5.28,1.74,0.11,0.00,0.00,0.00,0.00,0.00
