Commanche,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1/1/2016,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.64,1.63,43.97,89.55,99.77,108.23,111.70,103.83,97.58,71.72,12.28,0.55,0.00,0.00,0.00,0.00,0.00
1/2/2016,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.64,1.24,23.84,61.36,99.18,108.23,111.70,103.83,97.58,71.72,13.13,0.56,0.00,0.00,0.00,0.00,0.00
1/3/2016,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.65,1.24,23.84,61.36,99.18,108.23,111.94,103.83,97.58,75.06,14.52,0.59,0.00,0.00,0.00,0.00,0.00
1/4/2016,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.68,1.24,23.84,61.36,101.34,111.45,114.09,106.37,99.80,79.27,16.55,0.88,0.00,0.00,0.00,0.00,0.00
1/5/2016,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.68,1.44,23.84,61.36,102.98,112.80,114.77,108.45,102.75,81.68,16.55,0.88,0.00,0.00,0.00,0.00,0.00
1/6/2016,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.68,1.48,28.89,78.57,103.93,112.80,114.77,108.64,102.75,82.41,18.40,1.21,0.00,0.00,0.00,0.00,0.00
1/7/2016,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.68,1.48,28.89,78.57,103.93,112.80,114.77,109.28,102.75,82.41,18.40,1.21,0.00,0.00,0.00,0.00,0.00
1/8/2016,1,8,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.68,1.48,28.89,78.57,103.93,112.80,114.77,108.64,102.75,82.41,18.40,1.21,0.00,0.00,0.00,0.00,0.00
1/9/2016,1,9,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.68,1.48,28.89,78.57,103.93,112.80,114.77,108.64,102.75,82.41,18.40,1.21,0.00,0.00,0.00,0.00,0.00
1/10/2016,1,10,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.68,1.48,30.81,87.07,105.74,112.80,114.77,108.64,102.75,84.71,21.81,1.21,0.00,0.00,0.00,0.00,0.00
