Blanca,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1/1/2016,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.44,11.74,23.91,26.64,28.90,30.09,27.72,26.05,19.15,3.28,0.15,0.00,0.00,0.00,0.00,0.00
1/2/2016,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.33,6.36,16.38,26.48,28.90,30.09,27.72,26.05,19.15,3.51,0.15,0.00,0.00,0.00,0.00,0.00
1/3/2016,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.33,6.36,16.38,26.48,28.90,30.16,27.72,26.05,20.04,3.88,0.16,0.00,0.00,0.00,0.00,0.00
1/4/2016,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.33,6.36,16.38,27.06,29.76,30.74,28.40,26.65,21.17,4.42,0.24,0.00,0.00,0.00,0.00,0.00
1/5/2016,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.39,6.36,16.38,27.49,30.12,30.92,28.96,27.43,21.81,4.42,0.24,0.00,0.00,0.00,0.00,0.00
1/6/2016,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.40,7.71,20.98,27.75,30.12,30.92,29.01,27.43,22.00,4.91,0.32,0.00,0.00,0.00,0.00,0.00
1/7/2016,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.40,7.71,20.98,27.75,30.12,30.92,29.18,27.43,22.00,4.91,0.32,0.00,0.00,0.00,0.00,0.00
1/8/2016,1,8,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.40,7.71,20.98,27.75,30.12,30.92,29.01,27.43,22.00,4.91,0.32,0.00,0.00,0.00,0.00,0.00
1/9/2016,1,9,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.40,7.71,20.98,27.75,30.12,30.92,29.01,27.43,22.00,4.91,0.32,0.00,0.00,0.00,0.00,0.00
1/10/2016,1,10,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.40,8.22,23.25,28.23,30.12,30.92,29.01,27.43,22.62,5.82,0.32,0.00,0.00,0.00,0.00,0.00
1/11/2016,1,11,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.40,8.22,23.25,28.23,30.12,30.92,29.01,27.43,22.62,5.82,0.32,0.00,0.00,0.00,0.00,0.00
1/12/2016,1,12,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.40,8.22,25.45,28.23,29.94,30.91,29.01,27.49,23.35,6.18,0.32,0.00,0.00,0.00,0.00,0.00
1/13/2016,1,13,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.18,0.75,13.03,25.75,28.56,30.53,30.85,29.47,27.74,23.35,6.18,0.31,0.00,0.00,0.00,0.00,0.00
1/14/2016,1,14,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.75,13.03,25.75,28.56,30.53,30.85,29.47,27.74,23.35,6.18,0.31,0.00,0.00,0.00,0.00,0.00
1/15/2016,1,15,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.75,13.03,25.75,28.56,30.53,30.85,29.47,27.74,23.35,6.18,0.31,0.00,0.00,0.00,0.00,0.00
1/16/2016,1,16,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.75,13.03,25.75,28.56,30.53,30.85,29.47,27.74,23.35,6.18,0.31,0.00,0.00,0.00,0.00,0.00
1/17/2016,1,17,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.97,14.96,26.21,28.74,30.89,31.10,30.13,27.75,25.01,7.84,0.29,0.00,0.00,0.00,0.00,0.00
1/18/2016,1,18,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.97,14.96,26.21,28.74,30.89,31.10,30.13,28.03,25.39,8.23,0.29,0.00,0.00,0.00,0.00,0.00
1/19/2016,1,19,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.97,14.96,26.21,28.74,30.89,31.10,30.13,28.17,25.39,8.62,0.33,0.00,0.00,0.00,0.00,0.00
1/20/2016,1,20,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.97,14.96,26.21,28.74,30.89,31.11,30.38,28.17,25.76,8.72,0.47,0.00,0.00,0.00,0.00,0.00
1/21/2016,1,21,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.97,14.96,26.21,28.74,31.24,31.11,30.57,28.46,26.20,9.53,0.47,0.00,0.00,0.00,0.00,0.00
1/22/2016,1,22,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.97,14.96,26.21,28.74,31.24,31.11,30.57,28.46,26.20,9.75,0.47,0.00,0.00,0.00,0.00,0.00
1/23/2016,1,23,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.97,14.96,26.54,29.11,31.24,31.11,30.57,28.77,26.85,10.57,0.52,0.00,0.00,0.00,0.00,0.00
1/24/2016,1,24,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.57,11.53,26.54,29.11,31.24,31.11,30.57,28.77,26.85,10.57,0.52,0.00,0.00,0.00,0.00,0.00
1/25/2016,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.57,11.53,26.54,29.11,31.24,31.11,30.57,28.77,26.85,10.57,0.52,0.00,0.00,0.00,0.00,0.00
1/26/2016,1,26,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.57,11.53,26.54,29.11,31.24,31.11,30.57,28.77,26.85,10.57,0.52,0.00,0.00,0.00,0.00,0.00
1/27/2016,1,27,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.57,11.53,26.54,29.11,31.24,30.99,30.57,28.77,26.85,10.57,0.52,0.00,0.00,0.00,0.00,0.00
1/28/2016,1,28,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.17,0.57,11.53,26.54,29.11,31.21,30.99,30.80,28.77,27.27,12.28,0.62,0.00,0.00,0.00,0.00,0.00
1/29/2016,1,29,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.17,0.79,11.53,26.54,29.11,31.21,31.03,30.80,28.77,27.27,12.28,0.62,0.00,0.00,0.00,0.00,0.00
1/30/2016,1,30,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.17,0.79,11.53,24.38,27.80,31.11,31.03,30.80,27.03,27.27,12.28,0.62,0.00,0.00,0.00,0.00,0.00
1/31/2016,1,31,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.16,2.52,11.53,29.05,29.26,31.11,31.07,30.95,27.03,27.27,12.28,0.62,0.00,0.00,0.00,0.00,0.00
2/1/2016,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.16,2.70,20.13,29.05,30.37,31.06,31.07,30.95,29.30,28.23,13.95,0.82,0.00,0.00,0.00,0.00,0.00
2/2/2016,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.16,2.70,20.13,29.05,30.37,31.06,31.07,30.95,29.30,28.29,14.10,0.93,0.00,0.00,0.00,0.00,0.00
2/3/2016,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.16,2.70,20.13,29.05,30.37,31.06,31.07,30.95,29.30,28.29,14.10,0.93,0.00,0.00,0.00,0.00,0.00
2/4/2016,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.16,2.70,20.13,29.05,30.37,31.06,31.07,30.95,29.30,28.29,14.10,0.93,0.00,0.00,0.00,0.00,0.00
2/5/2016,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.16,2.70,20.13,29.05,30.50,31.06,31.09,30.95,29.30,28.29,14.10,0.93,0.00,0.00,0.00,0.00,0.00
2/6/2016,2,6,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.16,3.82,20.13,29.81,30.85,31.10,31.09,31.06,29.83,29.14,16.08,1.16,0.00,0.00,0.00,0.00,0.00
2/7/2016,2,7,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.15,3.82,22.06,29.86,30.85,31.10,31.09,31.06,29.83,29.14,16.08,1.16,0.00,0.00,0.00,0.00,0.00
2/8/2016,2,8,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.15,3.82,22.06,29.86,30.85,31.10,31.09,31.06,29.83,29.14,16.08,1.16,0.00,0.00,0.00,0.00,0.00
2/9/2016,2,9,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,3.82,22.06,29.86,30.85,31.10,31.09,31.06,29.83,29.14,16.08,1.16,0.00,0.00,0.00,0.00,0.00
2/10/2016,2,10,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.45,3.82,22.06,29.86,30.85,31.10,31.09,31.06,29.83,29.14,16.08,1.16,0.00,0.00,0.00,0.00,0.00
2/11/2016,2,11,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.45,4.44,22.53,29.86,30.85,31.10,31.09,31.06,29.83,29.14,16.08,1.16,0.00,0.00,0.00,0.00,0.00
2/12/2016,2,12,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.45,4.44,22.53,29.86,30.85,31.10,31.06,31.06,29.83,29.14,16.08,1.16,0.00,0.00,0.00,0.00,0.00
2/13/2016,2,13,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.45,4.44,22.53,29.50,30.51,31.08,31.14,31.14,29.75,28.45,17.10,1.81,0.00,0.00,0.00,0.00,0.00
2/14/2016,2,14,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.45,4.89,23.29,29.41,30.51,31.08,31.14,31.14,29.75,28.66,18.58,1.98,0.00,0.00,0.00,0.00,0.00
2/15/2016,2,15,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.45,4.89,23.29,29.41,30.51,31.07,31.14,31.14,30.86,30.02,19.36,2.23,0.00,0.00,0.00,0.00,0.00
2/16/2016,2,16,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.45,4.89,23.29,29.41,30.51,31.07,31.14,31.14,30.86,30.02,19.57,2.41,0.00,0.00,0.00,0.00,0.00
2/17/2016,2,17,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.34,6.19,24.82,30.28,31.00,31.10,31.14,31.14,30.86,30.02,19.76,2.70,0.00,0.00,0.00,0.00,0.00
2/18/2016,2,18,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.37,6.19,24.82,30.28,31.00,31.10,31.14,31.14,30.86,30.02,19.76,2.70,0.00,0.00,0.00,0.00,0.00
2/19/2016,2,19,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.44,7.30,25.65,30.47,31.17,31.10,31.14,31.14,30.86,30.16,20.79,2.98,0.00,0.00,0.00,0.00,0.00
2/20/2016,2,20,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.44,7.30,25.65,30.47,31.17,31.10,31.10,31.07,30.86,30.16,20.79,2.98,0.00,0.00,0.00,0.00,0.00
2/21/2016,2,21,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.44,7.30,25.65,30.47,31.17,31.10,31.10,31.07,30.86,30.16,20.79,2.98,0.00,0.00,0.00,0.00,0.00
2/22/2016,2,22,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.44,7.30,25.65,30.47,31.17,31.10,31.10,31.07,30.84,30.16,20.79,2.98,0.00,0.00,0.00,0.00,0.00
2/23/2016,2,23,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.44,7.30,25.65,30.47,31.17,31.10,31.10,31.07,30.84,30.16,20.79,2.98,0.00,0.00,0.00,0.00,0.00
2/24/2016,2,24,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.44,7.30,25.65,30.47,31.17,31.09,31.13,31.05,30.84,30.16,20.79,2.98,0.00,0.00,0.00,0.00,0.00
2/25/2016,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.44,7.30,25.65,30.47,31.17,31.09,31.13,31.05,30.84,30.16,20.79,2.98,0.00,0.00,0.00,0.00,0.00
2/26/2016,2,26,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.25,7.30,25.65,30.60,31.08,31.10,31.13,31.11,30.80,30.25,22.80,4.23,0.00,0.00,0.00,0.00,0.00
2/27/2016,2,27,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.25,9.16,26.49,30.60,31.08,31.10,31.13,31.11,30.80,30.25,22.80,4.23,0.00,0.00,0.00,0.00,0.00
2/28/2016,2,28,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.31,9.16,26.49,30.80,31.10,31.10,31.13,31.11,30.80,30.25,22.80,4.67,0.00,0.00,0.00,0.00,0.00
3/1/2016,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.31,10.47,26.49,30.80,31.10,31.10,31.13,31.11,30.80,30.25,22.80,4.67,0.00,0.00,0.00,0.00,0.00
3/2/2016,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.34,11.61,27.28,30.80,31.10,31.10,31.13,31.11,31.16,30.79,22.80,4.67,0.00,0.00,0.00,0.00,0.00
3/3/2016,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.34,11.61,27.28,30.80,31.10,31.10,31.16,31.11,31.16,30.79,22.80,4.67,0.00,0.00,0.00,0.00,0.00
3/4/2016,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.34,11.61,27.28,30.80,31.10,31.10,31.16,31.11,31.16,30.79,22.80,4.67,0.00,0.00,0.00,0.00,0.00
3/5/2016,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.34,11.61,27.28,30.80,31.10,31.08,31.16,31.11,31.16,30.79,22.68,4.67,0.00,0.00,0.00,0.00,0.00
3/6/2016,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.34,11.61,27.28,30.80,31.10,31.16,31.16,31.11,31.16,30.79,22.68,4.67,0.00,0.00,0.00,0.00,0.00
3/7/2016,3,7,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.34,11.61,27.28,30.65,31.09,31.16,31.16,31.11,31.16,30.79,21.04,4.21,0.00,0.00,0.00,0.00,0.00
3/8/2016,3,8,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.34,11.61,27.28,30.65,31.09,31.16,31.16,31.11,31.16,30.79,24.54,6.22,0.00,0.00,0.00,0.00,0.00
3/9/2016,3,9,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.54,11.41,25.03,29.59,30.59,31.16,31.16,31.11,31.08,30.48,24.54,6.22,0.00,0.00,0.00,0.00,0.00
3/10/2016,3,10,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.54,11.41,25.03,29.59,30.59,31.16,31.07,31.11,31.08,30.48,24.54,6.22,0.00,0.00,0.00,0.00,0.00
3/11/2016,3,11,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.54,11.41,25.03,29.59,30.59,31.16,31.11,31.11,31.08,30.48,24.54,6.56,0.00,0.00,0.00,0.00,0.00
3/12/2016,3,12,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.54,11.41,25.03,29.59,30.59,31.16,31.11,31.11,31.08,30.48,24.54,6.56,0.00,0.00,0.00,0.00,0.00
3/13/2016,3,13,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.54,11.41,25.03,30.92,31.09,31.06,31.11,31.11,31.08,30.48,24.54,6.56,0.00,0.00,0.00,0.00,0.00
3/14/2016,3,14,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.54,13.66,28.82,30.92,31.09,31.05,31.11,31.11,31.08,30.48,24.54,6.56,0.00,0.00,0.00,0.00,0.00
3/15/2016,3,15,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.54,14.96,29.44,31.07,31.09,31.08,31.13,31.05,30.72,30.42,25.40,6.56,0.00,0.00,0.00,0.00,0.00
3/16/2016,3,16,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.54,14.96,29.44,31.07,31.09,31.08,31.13,31.05,30.72,30.42,25.40,6.56,0.00,0.00,0.00,0.00,0.00
3/17/2016,3,17,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.54,14.96,29.44,31.07,31.09,31.08,31.13,31.05,30.72,30.42,25.40,6.56,0.00,0.00,0.00,0.00,0.00
3/18/2016,3,18,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.54,14.96,29.44,31.07,31.09,31.08,31.13,31.05,30.72,30.42,25.40,6.56,0.00,0.00,0.00,0.00,0.00
3/19/2016,3,19,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.54,16.80,29.44,31.07,31.09,31.08,31.13,31.05,30.72,30.42,25.40,6.56,0.00,0.00,0.00,0.00,0.00
3/20/2016,3,20,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.54,16.80,29.44,31.07,31.09,31.08,31.13,31.05,30.72,30.42,25.40,6.56,0.00,0.00,0.00,0.00,0.00
3/21/2016,3,21,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.54,19.68,29.44,31.07,31.09,31.08,31.13,30.92,30.72,30.42,25.40,6.56,0.00,0.00,0.00,0.00,0.00
3/22/2016,3,22,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.54,19.68,28.21,31.00,31.09,31.08,31.13,30.92,30.72,30.42,25.40,6.56,0.00,0.00,0.00,0.00,0.00
3/23/2016,3,23,0.00,0.00,0.00,0.00,0.00,0.00,0.45,2.47,19.68,28.21,31.00,31.09,28.44,31.13,30.92,30.72,30.42,25.40,6.56,0.00,0.00,0.00,0.00,0.00
3/24/2016,3,24,0.00,0.00,0.00,0.00,0.00,0.00,0.45,2.47,19.68,28.21,31.00,31.09,28.44,31.13,30.92,30.72,30.42,25.40,9.68,0.00,0.00,0.00,0.00,0.00
3/25/2016,3,25,0.00,0.00,0.00,0.00,0.00,0.00,0.45,2.47,19.68,28.21,31.00,31.60,28.44,31.13,30.92,30.72,30.42,25.40,9.68,0.00,0.00,0.00,0.00,0.00
3/26/2016,3,26,0.00,0.00,0.00,0.00,0.00,0.00,0.38,2.59,20.42,28.97,31.00,31.70,32.04,32.33,31.94,30.96,29.16,24.29,9.68,0.00,0.00,0.00,0.00,0.00
3/27/2016,3,27,0.00,0.00,0.00,0.00,0.00,0.00,0.38,2.86,20.42,28.97,31.00,31.70,32.04,32.33,31.94,30.96,29.16,24.29,9.68,0.00,0.00,0.00,0.00,0.00
3/28/2016,3,28,0.00,0.00,0.00,0.00,0.00,0.00,0.38,2.86,20.42,28.97,31.00,31.70,32.04,32.33,31.94,30.96,29.16,24.29,9.68,0.00,0.00,0.00,0.00,0.00
3/29/2016,3,29,0.00,0.00,0.00,0.00,0.00,0.00,0.38,2.86,20.42,28.97,30.95,31.70,32.04,32.33,31.94,30.96,29.16,24.29,9.68,0.00,0.00,0.00,0.00,0.00
3/30/2016,3,30,0.00,0.00,0.00,0.00,0.00,0.00,0.38,3.83,20.42,28.97,30.95,31.70,32.04,32.33,31.94,30.96,29.16,24.29,9.68,0.00,0.00,0.00,0.00,0.00
3/31/2016,3,31,0.00,0.00,0.00,0.00,0.00,0.00,0.38,4.41,21.95,28.97,30.95,31.70,32.04,32.33,31.94,30.96,29.16,24.29,9.68,0.00,0.00,0.00,0.00,0.00
4/1/2016,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.38,4.41,21.95,28.97,30.95,31.70,32.04,32.33,31.94,30.96,29.16,24.29,9.68,0.00,0.00,0.00,0.00,0.00
4/2/2016,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.36,4.41,21.95,28.93,30.79,31.34,31.66,31.74,31.14,29.47,28.81,23.69,9.68,0.00,0.00,0.00,0.00,0.00
4/3/2016,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.36,4.83,22.56,28.93,30.79,31.34,31.66,31.74,31.14,29.47,28.81,23.69,9.68,0.00,0.00,0.00,0.00,0.00
