SUNE1,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1/1/2016,1,1,0,0,0,0,0,0,0,5.63771E-05,1.468535662,5.86370039,6.647450924,6.278879642,5.810642242,5.801210403,6.126562595,6.260977268,5.204416752,0.958157599,4.88699E-06,0,0,0,0,0
1/2/2016,1,2,0,0,0,0,0,0,0,2.783E-05,1.468535662,5.86370039,6.647450924,6.278879642,5.810642242,5.801210403,6.116794586,6.260977268,5.204416752,0.958157599,4.88699E-06,0,0,0,0,0
1/3/2016,1,3,0,0,0,0,0,0,0,2.783E-05,1.468535662,5.86370039,6.647450924,6.278879642,5.810642242,5.801210403,6.116794586,6.260977268,5.204416752,1.098658919,4.88699E-06,0,0,0,0,0
1/4/2016,1,4,0,0,0,0,0,0,0,3.83191E-08,1.468535662,5.86370039,6.647450924,6.278879642,5.810642242,5.801210403,6.116794586,6.260977268,5.204416752,1.098658919,4.88699E-06,0,0,0,0,0
1/5/2016,1,5,0,0,0,0,0,0,0,3.83191E-08,1.323037982,5.156815529,6.300832272,5.964959621,5.707109928,5.658061981,6.116794586,6.075313568,5.160283566,1.098658919,4.88699E-06,0,0,0,0,0
1/6/2016,1,6,0,0,0,0,0,0,0,3.83191E-08,1.323037982,5.156815529,6.300832272,6.305404186,5.995105743,6.073083878,6.377765656,6.582688332,5.741235733,1.40749681,4.88699E-06,0,0,0,0,0
1/7/2016,1,7,0,0,0,0,0,0,0,6.70265E-06,1.575080514,6.190150261,6.891573429,6.458856106,6.040975571,6.073083878,6.333146334,6.59320879,5.841858864,1.40749681,4.88699E-06,0,0,0,0,0
1/8/2016,1,8,0,0,0,0,0,0,0,6.70265E-06,1.575080514,6.190150261,6.891573429,6.458856106,6.040975571,6.073083878,6.377765656,6.59320879,5.841858864,1.40749681,0,0,0,0,0,0
1/9/2016,1,9,0,0,0,0,0,0,0,6.70265E-06,1.575080514,6.190150261,6.891573429,6.458856106,6.040975571,6.073083878,6.377765656,6.59320879,5.841858864,1.40749681,0,0,0,0,0,0
1/10/2016,1,10,0,0,0,0,0,0,0,6.70265E-06,1.575080514,6.190150261,6.891573429,6.458856106,6.040975571,6.073083878,6.377765656,6.59320879,5.841858864,1.40749681,0,0,0,0,0,0
