Hooper,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1/1/2016,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.68,18.31,37.30,41.55,45.08,46.52,43.25,40.64,29.87,5.11,0.23,0.00,0.00,0.00,0.00,0.00
1/2/2016,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.52,9.93,25.56,41.31,45.08,46.52,43.25,40.64,29.87,5.47,0.23,0.00,0.00,0.00,0.00,0.00
1/3/2016,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.52,9.93,25.56,41.31,45.08,46.62,43.25,40.64,31.26,6.05,0.24,0.00,0.00,0.00,0.00,0.00
1/4/2016,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.28,0.52,9.93,25.56,42.21,46.42,47.52,44.30,41.57,33.02,6.89,0.37,0.00,0.00,0.00,0.00,0.00
1/5/2016,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.28,0.60,9.93,25.56,42.89,46.98,47.80,45.17,42.80,34.02,6.89,0.37,0.00,0.00,0.00,0.00,0.00
1/6/2016,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.28,0.62,12.03,32.72,43.29,46.98,47.80,45.25,42.80,34.32,7.66,0.50,0.00,0.00,0.00,0.00,0.00
1/7/2016,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.28,0.62,12.03,32.72,43.29,46.98,47.80,45.51,42.80,34.32,7.66,0.50,0.00,0.00,0.00,0.00,0.00
1/8/2016,1,8,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.28,0.62,12.03,32.72,43.29,46.98,47.80,45.25,42.80,34.32,7.66,0.50,0.00,0.00,0.00,0.00,0.00
1/9/2016,1,9,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.28,0.62,12.03,32.72,43.29,46.98,47.80,45.25,42.80,34.32,7.66,0.50,0.00,0.00,0.00,0.00,0.00
1/10/2016,1,10,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.28,0.62,12.83,36.27,44.04,46.98,47.80,45.25,42.80,35.28,9.08,0.50,0.00,0.00,0.00,0.00,0.00
1/11/2016,1,11,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.28,0.62,12.83,36.27,44.04,46.98,47.80,45.25,42.80,35.28,9.08,0.50,0.00,0.00,0.00,0.00,0.00
1/12/2016,1,12,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,0.62,12.83,39.70,44.04,46.70,47.79,45.25,42.89,36.43,9.64,0.50,0.00,0.00,0.00,0.00,0.00
1/13/2016,1,13,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,1.18,20.33,40.17,44.55,47.62,47.69,45.97,43.27,36.43,9.64,0.49,0.00,0.00,0.00,0.00,0.00
1/14/2016,1,14,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,1.18,20.33,40.17,44.55,47.62,47.69,45.97,43.27,36.43,9.64,0.49,0.00,0.00,0.00,0.00,0.00
1/15/2016,1,15,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,1.18,20.33,40.17,44.55,47.62,47.69,45.97,43.27,36.43,9.64,0.49,0.00,0.00,0.00,0.00,0.00
1/16/2016,1,16,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,1.18,20.33,40.17,44.55,47.62,47.69,45.97,43.27,36.43,9.64,0.49,0.00,0.00,0.00,0.00,0.00
1/17/2016,1,17,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,1.51,23.34,40.89,44.84,48.20,48.08,47.01,43.29,39.02,12.23,0.46,0.00,0.00,0.00,0.00,0.00
1/18/2016,1,18,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,1.51,23.34,40.89,44.84,48.20,48.08,47.01,43.72,39.61,12.84,0.46,0.00,0.00,0.00,0.00,0.00
1/19/2016,1,19,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,1.51,23.34,40.89,44.84,48.20,48.08,47.01,43.94,39.61,13.45,0.52,0.00,0.00,0.00,0.00,0.00
1/20/2016,1,20,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,1.51,23.34,40.89,44.84,48.20,48.09,47.39,43.94,40.19,13.60,0.73,0.00,0.00,0.00,0.00,0.00
1/21/2016,1,21,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,1.51,23.34,40.89,44.84,48.74,48.09,47.69,44.39,40.88,14.87,0.73,0.00,0.00,0.00,0.00,0.00
1/22/2016,1,22,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,1.51,23.34,40.89,44.84,48.74,48.09,47.69,44.39,40.88,15.21,0.73,0.00,0.00,0.00,0.00,0.00
1/23/2016,1,23,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.27,1.51,23.34,41.40,45.41,48.74,48.09,47.69,44.88,41.89,16.49,0.81,0.00,0.00,0.00,0.00,0.00
1/24/2016,1,24,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.27,0.89,17.98,41.40,45.41,48.74,48.09,47.69,44.88,41.89,16.49,0.81,0.00,0.00,0.00,0.00,0.00
1/25/2016,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.27,0.89,17.98,41.40,45.41,48.74,48.09,47.69,44.88,41.89,16.49,0.81,0.00,0.00,0.00,0.00,0.00
1/26/2016,1,26,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.27,0.89,17.98,41.40,45.41,48.74,48.09,47.69,44.88,41.89,16.49,0.81,0.00,0.00,0.00,0.00,0.00
1/27/2016,1,27,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.27,0.89,17.98,41.40,45.41,48.74,47.92,47.69,44.88,41.89,16.49,0.81,0.00,0.00,0.00,0.00,0.00
1/28/2016,1,28,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.27,0.89,17.98,41.40,45.41,48.69,47.92,48.05,44.88,42.54,19.16,0.97,0.00,0.00,0.00,0.00,0.00
1/29/2016,1,29,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.26,1.23,17.98,41.40,45.41,48.69,47.97,48.05,44.88,42.54,19.16,0.97,0.00,0.00,0.00,0.00,0.00
1/30/2016,1,30,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.26,1.23,17.98,38.03,43.37,48.52,47.97,48.05,42.17,42.54,19.16,0.97,0.00,0.00,0.00,0.00,0.00
1/31/2016,1,31,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.25,3.93,17.98,45.31,45.64,48.52,48.03,48.29,42.17,42.54,19.16,0.97,0.00,0.00,0.00,0.00,0.00
2/1/2016,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.25,4.21,31.41,45.31,47.37,48.45,48.03,48.29,45.70,44.04,21.77,1.29,0.00,0.00,0.00,0.00,0.00
2/2/2016,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.25,4.21,31.41,45.31,47.37,48.45,48.03,48.29,45.70,44.13,22.00,1.45,0.00,0.00,0.00,0.00,0.00
2/3/2016,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.25,4.21,31.41,45.31,47.37,48.45,48.03,48.29,45.70,44.13,22.00,1.45,0.00,0.00,0.00,0.00,0.00
2/4/2016,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.25,4.21,31.41,45.31,47.37,48.45,48.03,48.29,45.70,44.13,22.00,1.45,0.00,0.00,0.00,0.00,0.00
2/5/2016,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.25,4.21,31.41,45.31,47.58,48.45,48.06,48.29,45.70,44.13,22.00,1.45,0.00,0.00,0.00,0.00,0.00
2/6/2016,2,6,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.25,5.96,31.41,46.51,48.13,48.52,48.06,48.46,46.54,45.46,25.09,1.81,0.00,0.00,0.00,0.00,0.00
