Roswell,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1/1/2016,1,1,0,0,0,0,0,0,0,0,9.465411298,44.24548885,51.50115391,48.17575781,44.32764056,44.28663591,46.98346498,47.49932531,36.591498,9.154853691,0,0,0,0,0,0
1/2/2016,1,2,0,0,0,0,0,0,0,0,9.465411298,44.24548885,51.50115391,48.17575781,44.32764056,43.75234716,46.13652337,47.03054717,36.591498,9.154853691,0,0,0,0,0,0
1/3/2016,1,3,0,0,0,0,0,0,0,0,9.465411298,44.24548885,51.50115391,48.17575781,44.32764056,43.75234716,46.13652337,47.03054717,36.591498,9.154853691,0,0,0,0,0,0
1/4/2016,1,4,0,0,0,0,0,0,0,0,9.465411298,44.24548885,51.50115391,48.17575781,44.32764056,43.75234716,46.13652337,47.03054717,36.591498,9.154853691,0,0,0,0,0,0
1/5/2016,1,5,0,0,0,0,0,0,0,0,9.219915686,40.48044188,48.95926452,45.91762897,42.9422695,42.64443127,46.13652337,45.66420266,36.39662179,9.154853691,0,0,0,0,0,0
1/6/2016,1,6,0,0,0,0,0,0,0,0,9.219915686,40.48044188,48.95926452,45.91762897,46.87210054,46.53226432,48.35085267,50.01896959,41.34547012,9.853330143,0,0,0,0,0,0
1/7/2016,1,7,0,0,0,0,0,0,0,0,10.2542265,46.69578803,53.38100179,50.04804348,46.87210054,46.53226432,48.44421773,50.35617113,41.99575178,9.853330143,0,0,0,0,0,0
1/8/2016,1,8,0,0,0,0,0,0,0,0,10.2542265,46.69578803,53.38100179,50.04804348,46.87210054,46.53226432,48.35085267,50.35617113,41.99575178,9.853330143,0,0,0,0,0,0
1/9/2016,1,9,0,0,0,0,0,0,0,0,10.2542265,46.69578803,53.38100179,50.04804348,46.87210054,46.53226432,48.35085267,50.35617113,41.99575178,9.853330143,0,0,0,0,0,0
1/10/2016,1,10,0,0,0,0,0,0,0,0,10.2542265,46.69578803,53.38100179,50.04804348,46.87210054,46.53226432,48.35085267,50.35617113,41.99575178,9.853330143,0,0,0,0,0,0
1/11/2016,1,11,0,0,0,0,0,0,0,0,10.2542265,46.69578803,53.38100179,50.04804348,46.87210054,46.53226432,50.61022407,50.35617113,41.99575178,9.853330143,0,0,0,0,0,0
1/12/2016,1,12,0,0,0,0,0,0,0,0,10.2542265,46.69578803,53.38100179,50.04804348,46.87210054,46.53226432,50.61022407,50.35617113,41.99575178,9.853330143,0.088916583,0,0,0,0,0
1/13/2016,1,13,0,0,0,0,0,0,0,0,10.2542265,46.69578803,53.38100179,50.04804348,46.72504705,47.09250096,50.61022407,50.98502656,44.28103902,12.6488844,0.088916583,0,0,0,0,0
1/14/2016,1,14,0,0,0,0,0,0,0,0,10.26460673,45.78645469,53.32861823,50.82421229,47.48218219,47.48221779,50.71235651,53.21600409,44.64796956,13.09292873,0.088916583,0,0,0,0,0
1/15/2016,1,15,0,0,0,0,0,0,0,0,10.26460673,45.78645469,53.32861823,50.82421229,47.48218219,47.48221779,50.71235651,53.21600409,44.64796956,13.51007634,0.088916583,0,0,0,0,0
1/16/2016,1,16,0,0,0,0,0,0,0,0,10.26460673,45.78645469,53.32861823,50.82421229,47.48218219,47.48221779,50.71235651,53.21600409,44.64796956,13.72897786,0.088916583,0,0,0,0,0
1/17/2016,1,17,0,0,0,0,0,0,0,0,10.26833175,47.1284499,53.32861823,51.07714371,47.81564891,47.48221779,50.71235651,53.21600409,45.9340351,15.15333573,0.088916583,0,0,0,0,0
1/18/2016,1,18,0,0,0,0,0,0,0,0,10.26833175,47.1284499,53.32861823,51.07714371,47.81564891,47.48221779,50.71235651,53.21600409,45.9340351,15.26473935,0.088916583,0,0,0,0,0
1/19/2016,1,19,0,0,0,0,0,0,0,0,10.26833175,47.1284499,53.32861823,51.07714371,47.81564891,47.48221779,50.71235651,53.21600409,46.77612751,15.26473935,0,0,0,0,0,0
1/20/2016,1,20,0,0,0,0,0,0,0,9.52E-05,10.26833175,47.1284499,53.32861823,51.07714371,47.81564891,47.48221779,50.71235651,53.21600409,46.77612751,16.91643589,0.016850443,0,0,0,0,0
1/21/2016,1,21,0,0,0,0,0,0,0,9.52E-05,10.26833175,47.1284499,53.12643616,51.07714371,47.86875878,47.42559741,49.62688156,52.41571742,47.04497374,17.58425766,0.033015099,0,0,0,0,0
1/22/2016,1,22,0,0,0,0,0,0,0,9.52E-05,10.26833175,47.1284499,54.01838071,52.30263688,49.28041596,47.84022607,49.79829145,52.41571742,47.35572894,17.58425766,0.033015099,0,0,0,0,0
1/23/2016,1,23,0,0,0,0,0,0,0,9.52E-05,10.53510229,47.1284499,54.01838071,52.30263688,49.28041596,47.84022607,49.79829145,52.41571742,47.66350412,18.687894,0.070868377,0,0,0,0,0
