SanLouis,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1/1/2016,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,14.21,22.09,21.97,19.77,19.38,21.92,25.47,15.43,1.59,0.00,0.00,0.00,0.00,0.00,0.00
1/2/2016,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,8.69,16.60,21.97,19.77,19.38,21.92,25.47,15.43,1.59,0.00,0.00,0.00,0.00,0.00,0.00
1/3/2016,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,8.69,15.80,21.97,19.53,19.38,21.92,25.47,12.92,0.84,0.00,0.00,0.00,0.00,0.00,0.00
1/4/2016,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,8.69,15.80,21.97,19.53,19.36,21.56,22.88,12.92,0.84,0.00,0.00,0.00,0.00,0.00,0.00
1/5/2016,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,6.01,11.15,14.34,11.29,12.06,13.75,13.10,7.73,0.84,0.03,0.00,0.00,0.00,0.00,0.00
1/6/2016,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,3.91,10.18,14.34,10.37,8.99,9.67,11.27,5.86,0.76,0.03,0.00,0.00,0.00,0.00,0.00
1/7/2016,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,3.91,7.87,8.06,7.30,7.05,7.97,8.89,5.86,0.76,0.03,0.00,0.00,0.00,0.00,0.00
1/8/2016,1,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,3.91,7.87,8.06,7.30,7.05,8.04,8.89,5.86,0.78,0.03,0.00,0.00,0.00,0.00,0.00
1/9/2016,1,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,3.91,7.87,8.06,7.30,7.05,8.04,8.89,5.86,0.78,0.03,0.00,0.00,0.00,0.00,0.00
1/10/2016,1,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,4.61,7.87,8.06,7.30,7.05,8.04,8.89,5.81,0.96,0.03,0.00,0.00,0.00,0.00,0.00
