SandHills,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1/1/2016,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,10.61,14.79,15.81,15.64,15.73,15.83,16.22,11.98,2.12,0.00,0.00,0.00,0.00,0.00,0.00
1/2/2016,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,7.88,13.28,15.81,15.64,15.73,15.83,16.22,12.27,2.49,0.00,0.00,0.00,0.00,0.00,0.00
1/3/2016,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,7.88,13.28,15.81,15.91,15.99,15.83,16.22,12.65,2.75,0.00,0.00,0.00,0.00,0.00,0.00
1/4/2016,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,8.92,15.62,16.60,16.02,15.99,15.83,15.78,12.85,3.00,0.00,0.00,0.00,0.00,0.00,0.00
1/5/2016,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,8.92,15.62,16.60,16.02,15.99,15.83,15.78,12.85,3.00,0.00,0.00,0.00,0.00,0.00,0.00
1/6/2016,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,8.92,15.62,16.60,16.02,15.99,15.78,15.78,12.85,3.04,0.00,0.00,0.00,0.00,0.00,0.00
1/7/2016,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,8.92,15.62,16.60,16.02,15.99,15.89,15.78,12.85,3.04,0.00,0.00,0.00,0.00,0.00,0.00
1/8/2016,1,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,8.92,15.62,16.60,16.02,15.99,15.78,15.78,12.85,3.04,0.00,0.00,0.00,0.00,0.00,0.00
1/9/2016,1,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,8.92,15.62,16.60,16.02,15.99,15.78,15.78,12.85,3.04,0.00,0.00,0.00,0.00,0.00,0.00
1/10/2016,1,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,9.43,16.03,16.60,16.35,15.74,16.11,15.69,13.16,3.87,0.00,0.00,0.00,0.00,0.00,0.00
1/11/2016,1,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,9.43,16.03,16.44,16.35,15.59,16.11,15.76,13.16,3.87,0.00,0.00,0.00,0.00,0.00,0.00
1/12/2016,1,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,9.43,16.03,16.44,16.35,15.59,16.11,16.86,14.28,4.46,0.00,0.00,0.00,0.00,0.00,0.00
1/13/2016,1,13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.09,11.13,16.44,16.82,16.41,16.31,16.51,16.86,14.28,4.46,0.00,0.00,0.00,0.00,0.00,0.00
1/14/2016,1,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.09,11.13,16.44,16.82,16.41,16.31,16.51,16.86,14.28,4.46,0.00,0.00,0.00,0.00,0.00,0.00
1/15/2016,1,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.09,11.13,16.44,16.82,16.41,16.31,16.51,16.86,14.28,4.46,0.00,0.00,0.00,0.00,0.00,0.00
1/16/2016,1,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15,11.13,16.44,16.82,16.41,16.31,16.51,16.86,14.28,4.46,0.00,0.00,0.00,0.00,0.00,0.00
1/17/2016,1,17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18,11.13,16.44,16.82,16.41,16.31,16.51,16.86,14.28,4.80,0.00,0.00,0.00,0.00,0.00,0.00
1/18/2016,1,18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18,11.13,16.44,16.82,16.41,16.31,16.51,16.86,14.28,5.00,0.00,0.00,0.00,0.00,0.00,0.00
1/19/2016,1,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18,11.13,16.44,16.82,16.48,16.45,16.51,16.60,14.37,5.28,0.00,0.00,0.00,0.00,0.00,0.00
1/20/2016,1,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18,10.98,16.38,16.94,16.60,16.45,16.57,16.34,14.50,5.53,0.00,0.00,0.00,0.00,0.00,0.00
1/21/2016,1,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18,10.98,15.92,17.09,16.60,16.45,16.57,16.35,14.66,5.83,0.00,0.00,0.00,0.00,0.00,0.00
1/22/2016,1,22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18,10.98,15.92,17.09,16.66,16.45,16.57,16.36,14.69,6.15,0.00,0.00,0.00,0.00,0.00,0.00
1/23/2016,1,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18,10.83,16.65,17.09,16.66,16.45,16.57,16.42,14.97,6.61,0.00,0.00,0.00,0.00,0.00,0.00
1/24/2016,1,24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,10.22,16.65,17.09,16.66,16.88,16.57,16.42,14.97,6.61,0.00,0.00,0.00,0.00,0.00,0.00
1/25/2016,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,10.22,16.65,17.09,16.66,16.88,16.57,16.42,14.97,6.61,0.00,0.00,0.00,0.00,0.00,0.00
1/26/2016,1,26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,10.22,16.65,17.09,16.66,16.88,16.57,16.42,14.97,6.61,0.05,0.00,0.00,0.00,0.00,0.00
1/27/2016,1,27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,10.22,16.65,17.09,16.66,16.88,16.54,16.42,14.97,6.61,0.05,0.00,0.00,0.00,0.00,0.00
1/28/2016,1,28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,10.22,16.65,16.95,16.66,16.88,16.54,16.42,14.97,6.94,0.05,0.00,0.00,0.00,0.00,0.00
1/29/2016,1,29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,10.22,16.65,16.95,16.62,16.88,16.54,16.42,14.97,6.94,0.05,0.00,0.00,0.00,0.00,0.00
1/30/2016,1,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,10.22,16.43,16.90,16.14,16.88,16.09,15.66,15.61,6.94,0.19,0.00,0.00,0.00,0.00,0.00
1/31/2016,1,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.71,13.06,16.10,16.63,15.94,16.24,16.25,16.32,15.61,6.94,0.19,0.00,0.00,0.00,0.00,0.00
2/1/2016,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.05,13.20,16.10,16.63,15.94,16.24,16.25,16.32,15.61,7.99,0.23,0.00,0.00,0.00,0.00,0.00
2/2/2016,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.05,13.30,16.13,16.63,16.24,16.28,16.25,16.32,15.61,8.42,0.28,0.00,0.00,0.00,0.00,0.00
2/3/2016,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.25,13.49,16.25,16.63,16.24,16.28,16.25,16.32,15.61,8.42,0.28,0.00,0.00,0.00,0.00,0.00
2/4/2016,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.25,13.49,16.25,16.63,16.24,16.28,16.25,16.32,15.61,8.42,0.28,0.00,0.00,0.00,0.00,0.00
2/5/2016,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.41,13.78,16.25,16.63,16.24,16.28,16.25,16.32,15.61,9.38,0.28,0.00,0.00,0.00,0.00,0.00
2/6/2016,2,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.64,13.78,16.25,16.63,16.24,16.28,16.25,16.32,15.40,9.38,0.46,0.00,0.00,0.00,0.00,0.00
