SUNE2,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1/1/2016,1,1,0,0,0,0,0,0,0,0,1.267698169,5.925777912,6.897525787,6.452157021,5.936780453,5.931288719,6.292473793,6.361562729,4.900682449,1.226105332,0,0,0,0,0,0
1/2/2016,1,2,0,0,0,0,0,0,0,0,1.267698169,5.925777912,6.897525787,6.452157021,5.936780453,5.859731674,6.179043293,6.298779488,4.900682449,1.226105332,0,0,0,0,0,0
1/3/2016,1,3,0,0,0,0,0,0,0,0,1.267698169,5.925777912,6.897525787,6.452157021,5.936780453,5.859731674,6.179043293,6.298779488,4.900682449,1.226105332,0,0,0,0,0,0
1/4/2016,1,4,0,0,0,0,0,0,0,0,1.267698169,5.925777912,6.897525787,6.452157021,5.936780453,5.859731674,6.179043293,6.298779488,4.900682449,1.226105332,0,0,0,0,0,0
1/5/2016,1,5,0,0,0,0,0,0,0,0,1.234819055,5.421526909,6.557091713,6.149726868,5.751238346,5.71134901,6.179043293,6.115785599,4.874582767,1.226105332,0,0,0,0,0,0
1/6/2016,1,6,0,0,0,0,0,0,0,0,1.234819055,5.421526909,6.557091713,6.149726868,6.277558804,6.232044697,6.475607395,6.699017525,5.537379742,1.319651961,0,0,0,0,0,0
1/7/2016,1,7,0,0,0,0,0,0,0,0,1.373343825,6.253945351,7.149292946,6.702911377,6.277558804,6.232044697,6.488111734,6.744178772,5.624471664,1.319651961,0,0,0,0,0,0
1/8/2016,1,8,0,0,0,0,0,0,0,0,1.373343825,6.253945351,7.149292946,6.702911377,6.277558804,6.232044697,6.475607395,6.744178772,5.624471664,1.319651961,0,0,0,0,0,0
1/9/2016,1,9,0,0,0,0,0,0,0,0,1.373343825,6.253945351,7.149292946,6.702911377,6.277558804,6.232044697,6.475607395,6.744178772,5.624471664,1.319651961,0,0,0,0,0,0
1/10/2016,1,10,0,0,0,0,0,0,0,0,1.373343825,6.253945351,7.149292946,6.702911377,6.277558804,6.232044697,6.475607395,6.744178772,5.624471664,1.319651961,0,0,0,0,0,0
